customer_id,data_year,chapter,cstate,cname,description,premiums_written,losses_paid,taxes_paid,record_id,co_code,active_code
21868593,2019,515.48,WI,1st Auto & Casualty Insurance Company,Farmowners Multiple Peril,68977.0,38777.0,985.0,2019-44725-Farmowners Multiple Peril,44725,2894
75740424,2019,515.48,WI,1st Auto & Casualty Insurance Company,Other Commerical Auto Liability,90602.0,7757.0,1294.0,2019-44725-Other Commerical Auto Liability,44725,2894
30308357,2019,515.48,WI,1st Auto & Casualty Insurance Company,Private Passenger Physical Damage,1507244.0,1223499.0,21521.0,2019-44725-Private Passenger Physical Damage,44725,2894
47830476,2019,515.48,WI,1st Auto & Casualty Insurance Company,Homeowners Multiple Peril,30721.0,0.0,439.0,2019-44725-Homeowners Multiple Peril,44725,2894
19269962,2019,515.48,WI,1st Auto & Casualty Insurance Company,Boiler and Machinery,1833.0,1092.0,26.0,2019-44725-Boiler and Machinery,44725,2894
21831191,2019,515.48,WI,1st Auto & Casualty Insurance Company,Commercial Auto Physical Damage,45269.0,118908.0,646.0,2019-44725-Commercial Auto Physical Damage,44725,2894
18401412,2019,515.48,WI,1st Auto & Casualty Insurance Company,Other Liability - Occcurence,53356.0,0.0,762.0,2019-44725-Other Liability - Occcurence,44725,2894
73486606,2019,515.48,WI,1st Auto & Casualty Insurance Company,Other Private Passenger Auto Liability,1564112.0,838010.0,22333.0,2019-44725-Other Private Passenger Auto Liability,44725,2894
32813689,2019,515.48,NY,21st Century North America Insurance Company,Private Passenger Physical Damage,-4952.0,-737.0,-216.0,2019-32220-Private Passenger Physical Damage,32220,1962
33507197,2019,515.48,NY,21st Century North America Insurance Company,Other Private Passenger Auto Liability,-2622.0,25893.0,135.0,2019-32220-Other Private Passenger Auto Liability,32220,1962
99103685,2019,515.48,PA,ACE American Insurance Company,Credit,6823.0,0.0,444.0,2019-22667-Credit,22667,1492
51583214,2019,515.48,PA,ACE American Insurance Company,Aggregate Write-In,14040.0,2200.0,315.0,2019-22667-Aggregate Write-In,22667,1492
35875366,2019,515.48,PA,ACE American Insurance Company,Inland Marine,751159.0,3077901.0,16873.0,2019-22667-Inland Marine,22667,1492
21240703,2019,515.48,PA,ACE American Insurance Company,Aircraft,377255.0,0.0,0.0,2019-22667-Aircraft,22667,1492
18288638,2019,515.48,PA,ACE American Insurance Company,Excess Workers Compensation,1930050.0,2521948.0,61664.0,2019-22667-Excess Workers Compensation,22667,1492
63240241,2019,515.48,PA,ACE American Insurance Company,Boiler and Machinery,60.0,0.0,3.0,2019-22667-Boiler and Machinery,22667,1492
1407979,2019,515.48,PA,ACE American Insurance Company,Fire,4242.0,0.0,2183.0,2019-22667-Fire,22667,1492
63916778,2019,515.48,PA,ACE American Insurance Company,Fidelity,251865.0,0.0,5140.0,2019-22667-Fidelity,22667,1492
17004138,2019,515.48,PA,ACE American Insurance Company,All other Accident and Health (b),269.0,0.0,1289.0,2019-22667-All other Accident and Health (b),22667,1492
9667764,2019,515.48,PA,ACE American Insurance Company,Workers Compensation,4532692.0,1088410.0,133517.0,2019-22667-Workers Compensation,22667,1492
75584003,2019,515.48,PA,ACE American Insurance Company,Other Liability - Occcurence,6247871.0,1063461.0,129789.0,2019-22667-Other Liability - Occcurence,22667,1492
90012444,2019,515.48,PA,ACE American Insurance Company,Commercial Auto Physical Damage,243470.0,668791.0,4953.0,2019-22667-Commercial Auto Physical Damage,22667,1492
10665308,2019,515.48,PA,ACE American Insurance Company,Medical Professional Liability,197365.0,0.0,4235.0,2019-22667-Medical Professional Liability,22667,1492
35597589,2019,515.48,PA,ACE American Insurance Company,Other Liability - Claims Made,3370224.0,-5728.0,70364.0,2019-22667-Other Liability - Claims Made,22667,1492
1924109,2019,515.48,PA,ACE American Insurance Company,Commerical Multiple Peril (Non-liability portion),4447941.0,19139260.0,91858.0,2019-22667-Commerical Multiple Peril (Non-liability portion),22667,1492
12871942,2019,515.48,PA,ACE American Insurance Company,Other Commerical Auto Liability,2008374.0,418840.0,41059.0,2019-22667-Other Commerical Auto Liability,22667,1492
32155446,2019,515.48,PA,ACE American Insurance Company,Surety,550000.0,0.0,11114.0,2019-22667-Surety,22667,1492
35876516,2019,515.48,PA,ACE American Insurance Company,Commerical Multiple Peril (Liability portion),8598.0,0.0,209.0,2019-22667-Commerical Multiple Peril (Liability portion),22667,1492
13265356,2019,515.48,PA,ACE American Insurance Company,Products Liability,394000.0,0.0,8074.0,2019-22667-Products Liability,22667,1492
80379865,2019,515.48,PA,ACE American Insurance Company,Group Accident and Health (b),1120081.0,359639.0,36437.0,2019-22667-Group Accident and Health (b),22667,1492
64899302,2019,515.48,PA,ACE American Insurance Company,Earthquake,9762.0,0.0,296.0,2019-22667-Earthquake,22667,1492
11278282,2019,515.48,PA,ACE American Insurance Company,Ocean Marine,63848.0,0.0,1095.0,2019-22667-Ocean Marine,22667,1492
90425966,2019,515.48,PA,ACE American Insurance Company,Allied Lines,1074488.0,0.0,21732.0,2019-22667-Allied Lines,22667,1492
70459181,2019,515.48,PA,ACE Fire Underwriters Insurance Company,Other Commerical Auto Liability,6367.0,0.0,462.0,2019-20702-Other Commerical Auto Liability,20702,1503
